position,name,category,tvg_id,enabled,url
35,News12+ New Jersey (1080p) [Geo-blocked],Local News,News12PlusNewJersey.us@HD,1,https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12PLUS_H_NJ_A1/index_new.m3u8
36,News12+ Long Island (1080p) [Geo-blocked],Local News,News12PlusLongIsland.us@HD,1,https://mdc.ott.alticeusa.net/live4.ott.optimum.net/live4-uploads/N12PLUS_H_LI_A1/index_new.m3u8
37,White Plains Community Media (360p),Local News,WhitePlainsCommunityMedia.us@SD,1,https://stream.swagit.com/live-edge/whiteplainsny/smil:std-4x3-1-b/playlist.m3u8
38,i24NEWS English USA (1080p),Local News,i24NEWSEnglishUSA.il@SD,1,https://fastly.live.brightcove.com/6386790908112/eu-central-1/5377161796001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiZXJmajYzLmVncmVzcy53YzQ3bTEiLCJhY2NvdW50X2lkIjoiNTM3NzE2MTc5NjAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI1Mzc3MTYxNzk2MDAxIl0sImp0aSI6IjYzODY3OTA5MDgxMTIifQ._w5c3EwfnEecDCEpDaKuVz07uuEyUb3vXvQN3svv-oU/chunklist.m3u8
39,Fox News Channel (720p),News,FoxNewsChannel.us@SD,1,http://41.205.77.102/FOX-NEWS/index.m3u8
40,MS NOW (720p),News,MSNOW.us@SD,1,http://40.160.24.53/MSNBC/index.m3u8
41,NBC News NOW (1080p),News,NBCNewsNOW.us@SD,1,https://d1si3n1st4nkgb.cloudfront.net/10502/88896001/hls/master.m3u8?ads.xumo_channelId=88896001
42,ABC News Live 1 (720p),News,ABCNewsLive1.us@SD,1,https://abcnews-streams.akamaized.net/hls/live/2023560/abcnewshudson1/master.m3u8
43,CBS News 24/7 (720p),News,CBSNews247.us@SD,1,https://jmp2.uk/plu-6350fdd266e9ea0007bedec5.m3u8
44,CNBC (1080p),News,CNBC.us@SD,1,https://gpuserver3.tier1streams.com/CNBC/index.m3u8
45,Fox Business Network (720p),News,FoxBusinessNetwork.us@SD,1,http://40.160.24.58/FOX_BUSINESS_NETWORK/index.m3u8
46,Bloomberg TV (1080p),News,BloombergTV.us@US,1,http://23.237.104.106:8080/USA_BLOOMBERG/index.m3u8
47,Cheddar News (1080p),News,CheddarNews.us@SD,1,https://hls.livecdn.io/cheddar.com/cheddar/playlist.m3u8
48,Cheddar Business (720p),Business,CheddarBusiness.us@SD,1,https://gpuserver3.tier1streams.com/CHEDDAR_BUSINESS/index.m3u8
49,LiveNOW from FOX (1080p) [Geo-blocked],News,LiveNOWfromFOX.us@SD,1,https://pb-k5p02dtnr2162.akamaized.net/LiveNOW_from_FOX.m3u8
50,Scripps News (1080p),News,ScrippsNews.us@SD,1,https://aegis-cloudfront-1.tubi.video/7e1c26b7-7975-4240-9a4f-480eaa8f3ea4/playlist.m3u8
51,NewsNation (720p),News,NewsNation.us@SD,1,http://40.160.24.58/NEWSNATION/index.m3u8
52,Newsmax TV (720p),News,NewsmaxTV.us@SD,1,http://40.160.24.53/NEWSMAX/index.m3u8
53,Newsmax 2 (1080p),News,Newsmax2.us@SD,1,https://amg00217-newsmax-newsmax-zeasn-022k9.amagi.tv/playlist.m3u8
54,TODAY All Day (1080p),News,TODAYAllDay.us@SD,1,https://d37kx062o4ii0p.cloudfront.net/master.m3u8
55,Free Speech TV (720p),News,FreeSpeechTV.us@SD,1,https://edge.fstv-live-linear-channel.top.comcast.net/Content/HLS_HLSv3/Live/channel(b168a609-19c1-2203-ae1d-6b9726f05e67)/index.m3u8
56,OANPlus (1080p),News,OANPlus.us@SD,1,https://oan-plus-tcl.amagi.tv/playlist.m3u8
57,One America News Network (1080p),News,OneAmericaNewsNetwork.us@SD,1,http://40.160.24.55/ONE_AMERICA_NEWS/index.m3u8
58,Blaze Live (720p),News,BlazeLive.us@SD,1,https://jmp2.uk/plu-5e46fba0c43b0d00096e5ac1.m3u8
59,Newsy (1080p),News,Newsy.us@SD,1,https://547f72e6652371c3.mediapackage.us-east-1.amazonaws.com/out/v1/e3e6e29095844c4ba7d887f01e44a5ef/index.m3u8
60,Reuters (1080p),News,ReutersTV.us@SD,1,https://amg00453-reuters-amg00453c1-rakuten-uk-2110.playouts.now.amagi.tv/playlist/amg00453-reuters-reuters-rakutenuk/playlist.m3u8
61,AccuWeather Network (720p),Weather,AccuWeatherNetwork.us@SD,1,https://gpuserver3.tier1streams.com/AccuWeather/index.m3u8
62,AccuWeather Now (1080p),Weather,AccuWeatherNOW.us@SD,1,https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg00684-accuweather-accuweather-plex/playlist.m3u8
63,FOX Weather (1080p) [Geo-blocked],Weather,FoxWeather.us@SD,1,https://pb-hum8cczphcrpf.akamaized.net/FOX_Weather.m3u8
64,SportsNet New York (1080p),Sports,SportsNetNewYork.us@SD,1,http://40.160.24.55/SNY/index.m3u8
65,MSG (720p),Sports,MSG.us@SD,1,http://23.237.104.106:8080/USA_MSG/index.m3u8
66,MSG 2 (720p),Sports,MSG2.us@SD,1,http://40.160.24.52/MSG_2/index.m3u8
67,MSG Plus (720p),Sports,MSGPlus.us@SD,1,https://gpuserver3.tier1streams.com/MSG_PLUS/index.m3u8
68,Yes Network (720p),Sports,YesNetwork.us@SD,1,http://23.237.104.106:8080/USA_YES_NETWORK/index.m3u8
69,ESPNU (720p),Sports,ESPNU.us@SD,1,http://23.237.104.106:8080/USA_ESPNU/index.m3u8
70,ESPNews (720p),Sports,ESPNews.us@SD,1,http://41.223.30.230/ESPNNEWS/index.m3u8
71,NFL Network (720p),Sports,NFLNetwork.us@SD,1,http://23.237.104.106:8080/USA_NFL_NETWORK/index.m3u8
72,MLB Network (1080p),Sports,MLBNetwork.us@SD,1,https://gpuserver3.tier1streams.com/MLB_Network/index.m3u8
73,MLB Strike Zone (720p),Sports,MLBStrikeZone.us@SD,1,http://23.237.104.106:8080/USA_MLB_STRIKE_ZONE/index.m3u8
74,NBA TV (1080p),Sports,NBATV.us@SD,1,https://cdn1.ayitistream.com/NBATV/index.m3u8
75,NHL Network (1080p),Sports,NHLNetwork.us@SD,1,https://nhl-firetv.amagi.tv/playlist.m3u8
76,Fox Sports 1 (720p),Sports,FoxSports1.us@HD,1,http://85.237.89.160:9590/usa-s/FOX-SPORTS-1/index.m3u8
77,Fox Sports 2,Sports,FoxSports2.us@HD,1,https://streamvidex.qzz.io/videx/fox2usa/index.m3u8
78,CBS Sports Network USA (1080p),Sports,CBSSportsNetworkUSA.us@SD,1,https://gpuserver3.tier1streams.com/CBS_SPORTS_NETWORK/index.m3u8
79,CBS Sports HQ (1080p) [Geo-blocked],Sports,CBSSportsHQ.us@SD,1,https://propee33f9c2.airspace-cdn.cbsivideo.com/index.m3u8
80,NBC Sports NOW (1080p),Sports,NBCSportsNOW.us@SD,1,https://d4whmvwm0rdvi.cloudfront.net/10007/99993008/hls/master.m3u8?ads.xumo_channelId=99993008
81,NBCSN (720p),Sports,NBCSN.us@SD,1,http://40.160.24.58/NBC_SPORTS_NETWORK/index.m3u8
82,Golf Channel (1080p),Sports,GolfChannel.us@SD,1,https://gpuserver3.tier1streams.com/GOLF_CHANNEL/index.m3u8
83,Tennis Channel (1080p),Sports,TennisChannel.us@SD,1,https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg01444-tennischannelth-tennischannelnl-samsungnl/playlist.m3u8
84,ACC Network (720p),Sports,ACCNetwork.us@SD,1,http://206.212.244.63/2486/index.m3u8
85,SEC Network (720p),Sports,SECNetwork.us@SD,1,http://40.160.24.55/SEC_NETWORK/index.m3u8
86,Big Ten Network (720p),Sports,BigTenNetwork.us@SD,1,http://23.237.104.106:8080/USA_BTN/index.m3u8
87,FanDuel TV (720p),Sports,FanDuelTV.us@SD,1,http://40.160.24.55/TVG/index.m3u8
88,FanDuel Racing (720p),Sports,FanDuelRacing.us@SD,1,http://206.212.244.63/6139/index.m3u8
89,beIN Sports USA (720p),Sports,beINSportsUSA.us@SD,1,http://23.237.104.106:8080/USA_BEIN/index.m3u8
90,beIN SPORTS XTRA (1080p),Sports,beINSPORTSXTRA.us@SD,1,https://bein-xtra-bein.amagi.tv/playlist.m3u8
91,Fox Soccer Plus (720p),Sports,FoxSoccerPlus.us@SD,1,https://gpuserver3.tier1streams.com/FOX_SOCCER_PLUS/index.m3u8
92,Willow (720p),Sports,Willow.us@SD,1,http://tvsen5.aynascope.net/willowhd/index.m3u8
93,Willow Sports (1080p),Sports,WillowSports.us@SD,1,https://d36r8jifhgsk5j.cloudfront.net/Willow_TV.m3u8
94,Outdoor Channel HD (1080p),Sports,OutdoorChannel.us@HD,1,http://40.160.24.55/OUTDOOR_CHANNEL/index.m3u8
95,DraftKings Network (1080p),Sports,DraftKingsNetwork.us@SD,1,https://na.linear.zype.com/e0bd0e23-a958-4e43-8164-4f2fef8876a8/fd3614bd-90bf-4530-a277-65ae3a1720c8-zype/live.m3u8
96,Pac 12 Insider (1080p),Sports,Pac12Insider.us@SD,1,https://pac12-firetv.amagi.tv/playlist.m3u8
97,Stadium (720p),Sports,Stadium.us@SD,1,https://wurl120sports.global.transmit.live/hls/679a907dce42a042c23ace37/v1/stadium_gracenote/samsung_us/latest/main/hls/playlist.m3u8
98,SportsGrid (1080p),Sports,SportsGrid.us@SD,1,https://sportsgrid-tribal.amagi.tv/playlist.m3u8
99,Nickelodeon (1080p),Kids,Nickelodeon.us@East,1,http://23.237.104.106:8080/USA_NICKELODEON/index.m3u8
100,FX (1080p),Entertainment,FX.us@East,1,http://23.237.104.106:8080/USA_FX/index.m3u8
101,Oxygen (720p),Entertainment,Oxygen.us@East,1,http://40.160.24.55/OXYGEN/index.m3u8
102,USA Network (1080p),Entertainment,USANetwork.us@East,1,http://40.160.24.55/USA_NETWORK/index.m3u8
103,SYFY (1080p),Entertainment,SYFY.us@East,1,https://gpuserver5.tier1streams.com/SYFY/index.m3u8
104,Bravo (1080p),Entertainment,Bravo.us@East,1,https://gpuserver3.tier1streams.com/BRAVO/index.m3u8
105,VH1 (720p),Entertainment,VH1.us@East,1,http://40.160.24.55/VH1/index.m3u8
106,MTV (720p),Entertainment,MTV.us@East,1,http://40.160.24.53/MTV/index.m3u8
107,MTV2 (1080p),Entertainment,MTV2.us@East,1,http://40.160.24.53/MTV2/index.m3u8
108,A&E (1080p),Entertainment,AE.us@East,1,https://gpuserver3.tier1streams.com/AE/index.m3u8
109,E! (1080p),Entertainment,E.us@East,1,http://23.237.104.106:8080/USA_E/index.m3u8
110,Comedy Central (1080p),Entertainment,ComedyCentral.us@East,1,http://23.237.104.106:8080/USA_COMEDY_CENTRAL/index.m3u8
111,Lifetime (720p),Entertainment,Lifetime.us@East,1,http://40.160.24.53/LIFETIME/index.m3u8
112,Lifetime Movies (1080p),Entertainment,LifetimeMovies.us@East,1,http://23.237.104.106:8080/USA_LMN/index.m3u8
113,Paramount Network (720p),Entertainment,ParamountNetwork.us@East,1,http://40.160.24.55/PARAMOUNT_CHANNEL/index.m3u8
114,Hallmark Channel (1080p),Entertainment,HallmarkChannel.us@East,1,http://23.237.104.106:8080/USA_HALLMARK/index.m3u8
115,Hallmark Mystery (1080p),Movies,HallmarkMystery.us@East,1,http://40.160.24.53/HALLMARK_MOVIES_AND_MYSTERIES/index.m3u8
116,AMC (720p),Entertainment,AMC.us@EastHD,1,http://23.239.31.26:8989/amc/index.m3u8
117,BET (720p),Entertainment,BET.us@East,1,http://41.205.93.154/BET-EN/index.m3u8
118,BET Her (720p),Entertainment,BETHer.us@East,1,http://41.205.93.154/BETHER/index.m3u8
119,Game Show Network (1080p),Entertainment,GameShowNetwork.us@East,1,http://206.212.244.63/4237/index.m3u8
120,BBC America East HD (720p),Entertainment,BBCAmerica.us@EastHD,1,https://gpuserver3.tier1streams.com/BBC_AMERICA/index.m3u8
121,ION Plus (1080p),Entertainment,IONPlus.us@East,1,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-ionplus-tablo/playlist.m3u8
122,Freeform (720p),Entertainment,Freeform.us@East,1,http://190.11.225.124:5000/live/freeform_hd/playlist.m3u8
123,TV Land (720p),Entertainment,TVLand.us@East,1,http://40.160.24.55/TV_LAND/index.m3u8
124,Sundance TV (720p),Entertainment,SundanceTV.us@East,1,http://40.160.24.55/SUNDANCE/index.m3u8
125,IFC (1080p),Entertainment,IFC.us@East,1,http://23.237.104.106:8080/USA_IFC/index.m3u8
126,FXX (1080p),Entertainment,FXX.us@East,1,http://23.237.104.106:8080/USA_FXX/index.m3u8
127,FX Movie Channel (720p),Entertainment,FXMovieChannel.us@SD,1,http://40.160.24.52/FXM/index.m3u8
128,Logo (720p),Entertainment,Logo.us@East,1,http://206.212.244.63/4242/index.m3u8
129,Up TV (1080p),Entertainment,UpTV.us@SD,1,http://40.160.24.55/Up_TV/index.m3u8
130,INSP (720p),Entertainment,INSP.us@SD,1,http://40.160.24.53/INSP/index.m3u8
131,TV One (1080p),Entertainment,TVOne.us@SD,1,http://40.160.24.55/TV_ONE/index.m3u8
132,Fuse (1080p),Entertainment,Fuse.us@East,1,http://23.237.104.106:8080/USA_FUSE/index.m3u8
133,Revolt (720p),Entertainment,Revolt.us@SD,1,http://23.237.104.106:8080/USA_REVOLT/index.m3u8
134,Aspire (1080p),Entertainment,Aspire.us@SD,1,http://206.212.244.63/10/index.m3u8
135,Cleo TV (720p),Entertainment,CleoTV.us@SD,1,http://206.212.244.63/38/index.m3u8
136,VICE TV (1080p),Entertainment,VICETV.us@SD,1,http://23.237.104.106:8080/USA_VICETV/index.m3u8
137,FYI (720p),Entertainment,FYI.us@East,1,http://206.212.244.63/78/index.m3u8
138,Ovation (1080p),Entertainment,Ovation.us@SD,1,http://40.160.24.55/OVATION/index.m3u8
139,REELZ Famous & Infamous (1080p),Entertainment,Reelz.us@SD,1,https://d3serb1fmh623s.cloudfront.net/playlist.m3u8
140,Great American Family (1080p),Entertainment,GreatAmericanFamily.us@SD,1,http://40.160.24.58/GAC_FAMILY/index.m3u8
141,CMT (1080p),Entertainment,CMT.us@East,1,https://gpuserver3.tier1streams.com/CMT/index.m3u8
142,AXS TV (1080p),Music,AXSTV.us@SD,1,https://gpuserver3.tier1streams.com/AXS_TV/index.m3u8
143,History (720p),Documentary,History.us@East,1,http://40.160.24.53/HISTORY_CHANNEL/index.m3u8
144,National Geographic (720p),Documentary,NationalGeographic.us@East,1,http://40.160.24.53/NAT_GEO/index.m3u8
145,National Geographic Wild (720p),Documentary,NationalGeographicWild.us@East,1,http://40.160.24.53/NAT_GEO_WILD/index.m3u8
146,Crime + Investigation (720p),Documentary,CrimePlusInvestigation.us@SD,1,http://23.237.104.106:8080/USA_CRIME_INVESTIGATION/index.m3u8
147,Court TV (1080p),Documentary,CourtTV.us@SD,1,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-courttv-tablo/playlist.m3u8
148,Law & Crime (720p),Documentary,LawCrime.us@SD,1,http://206.212.244.63/102/index.m3u8
149,Smithsonian Channel (1080p),Documentary,SmithsonianChannel.us@East,1,http://40.160.24.55/SMITHSONIAN/index.m3u8
150,Discovery Turbo (720p),Documentary,DiscoveryTurbo.us@SD,1,https://gpuserver3.tier1streams.com/MOTORTREND/index.m3u8
151,Pluto TV True Crime,Movies,PlutoTVTrueCrime.us@US,1,https://jmp2.uk/plu-5812be1c249444e05d09cc50.m3u8
152,Pluto TV History,Movies,PlutoTVHistory.us@US,1,https://jmp2.uk/plu-5a4d35dfa5c02e717a234f86.m3u8
153,Pluto TV Science,Movies,PlutoTVScience.us@US,1,https://jmp2.uk/plu-563a970aa1a1f7fe7c9daad7.m3u8
154,Disney Channel (720p),Kids,DisneyChannel.us@East,1,http://206.212.244.63/650/index.m3u8
155,Disney Junior (720p),Kids,DisneyJunior.us@East,1,http://23.237.104.106:8080/USA_DISNEY_JUNIOR/index.m3u8
156,Disney XD (720p),Kids,DisneyXD.us@East,1,http://40.160.24.52/DISNEY_XD_HD/index.m3u8
157,Nick Jr. (1080p),Kids,NickJr.us@East,1,http://40.160.24.55/NICK_JR/index.m3u8
158,Nicktoons (1080p),Kids,Nicktoons.us@East,1,http://206.212.244.63/3151/index.m3u8
159,TeenNick (720p),Kids,TeenNick.us@East,1,http://40.160.24.55/TEEN_NICK/index.m3u8
160,BabyFirst (720p),Kids,BabyFirst.us@US,1,http://206.212.244.63/639/index.m3u8
161,PBS Kids 24/7 (1080p),Kids,PBSKids247.us@SD,1,http://206.212.244.63/672/index.m3u8
162,PBS Kids Eastern/Central (720p),Kids,PBSKidsEasternCentral.us@SD,1,https://2-fss-2.streamhoster.com/pl_140/amlst:200914-1298290/playlist.m3u8
163,PBS National East (1080p) [Geo-blocked],Public TV,PBS.us@East,1,https://pbs.lls.cdn.pbs.org/est/index.m3u8
164,PBS New Jersey NJ (WNJT) (1080p) [Not 24/7],Public TV,WNJT521.us@HD,1,https://wnjtdt.lls.pbs.org/out/v1/e62efd8d4f92403996425fc389df0ffd/index.m3u8
165,FNX (1080p),Public TV,FNX.us@SD,1,https://fnx.lls.pbs.org/index.m3u8
166,Showtime (1080p),Entertainment,Showtime.us@East,1,http://23.237.104.106:8080/USA_SHOWTIME/index.m3u8
167,Showtime 2 (1080p),Movies,Showtime2.us@East,1,http://40.160.24.55/SHOWTIME_2/index.m3u8
168,Showtime Extreme (1080p),Entertainment,ShowtimeExtreme.us@East,1,http://40.160.24.55/SHOWTIME_EXTREME/index.m3u8
169,Showtime Next (720p),Movies,ShowtimeNext.us@East,1,http://40.160.24.55/SHOWTIME_NEXT/index.m3u8
170,Showtime Family Zone (720p),Movies,ShowtimeFamilyZone.us@East,1,http://23.237.104.106:8080/USA_SHOWTIME_FAMILY/index.m3u8
171,Starz (1080p),Entertainment,Starz.us@East,1,http://23.237.104.106:8080/USA_STARZ/index.m3u8
172,Starz Edge (1080p),Entertainment,StarzEdge.us@East,1,http://40.160.24.55/STARZ_EDGE/index.m3u8
173,Starz Encore (1080p),Entertainment,StarzEncore.us@East,1,http://40.160.24.55/STARZ_ENCORE/index.m3u8
174,Starz Comedy (1080p),Entertainment,StarzComedy.us@East,1,http://23.237.104.106:8080/USA_STARZ_COMEDY/index.m3u8
175,Starz Cinema (720p),Entertainment,StarzCinema.us@East,1,http://23.237.104.106:8080/USA_STARZ_CINEMA/index.m3u8
176,Starz Kids & Family (1080p),Kids,StarzKidsFamily.us@East,1,http://23.237.104.106:8080/USA_STARZ_FAMILY/index.m3u8
177,MGM+ (1080p),Entertainment,MGMPlus.us@East,1,https://gpuserver3.tier1streams.com/EPIX/index.m3u8
178,MGM+ Drive-In (720p),Movies,MGMPlusDriveIn.us@SD,1,https://gpuserver3.tier1streams.com/EPIX_DRIVE-IN/index.m3u8
179,MovieSphere (1080p),Movies,MovieSphere.us@US,1,https://amg00353-lionsgatestudio-moviesphere-xumo-zh5u0.amagi.tv/playlist.m3u8
180,TBN (1080p),Religious,TBN.us@East,1,https://livecdn.use1-0004.jwplive.com/live/sites/Yal8cmyO/media/fCGf6ROk/live.isml/.m3u8
181,TBN Inspire (1080p),Religious,TBNInspire.us@SD,1,https://livecdn.use1-0004.jwplive.com/live/sites/Yal8cmyO/media/yfFI83Xz/live.isml/.m3u8
182,EWTN (720p) [Geo-blocked],Religious,EWTN.us@English,1,https://cdn3.wowza.com/1/QjRzVXJtVml5SUVx/WGJRSWxz/hls/live/playlist.m3u8
183,Daystar TV (1080p),Religious,DaystarTV.us@SD,1,https://live-mcl.cdn01.net/smarttv/48vy43564/playlist.m3u8
184,The Word Network (1080p),Religious,TheWordNetwork.us@SD,1,https://clouditize.piksel.tech/hls/live/2043070/ClouditizeStream1/playlist.m3u8
185,Impact Network (720p),Religious,ImpactNetwork.us@SD,1,https://edge1.lifestreamcdn.com/live/impactroku1/index.m3u8
186,QVC (720p),Shop,QVC.us@SD,1,http://40.160.24.55/QVC/index.m3u8
187,QVC2 (720p),Shop,QVC2.us@SD,1,http://206.212.244.63/142/index.m3u8
188,QVC 3 (1080p),Shop,QVC3.us@SD,1,https://qvc-amd-live.akamaized.net/hls/live/2034113/lsqvc3us/master.m3u8
189,HSN (720p),Shop,HSN.us@East,1,http://40.160.24.53/HSN/index.m3u8
190,HSN2 (720p),Shop,HSN2.us@SD,1,https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn2us/master.m3u8
191,Shop LC (1080p),Shop,ShopLC.us@SD,1,https://cdn-shop-lc-01.akamaized.net/Content/DASH_DASH/Live/channel(ott)/master.mpd
192,BX Inform (1080p),NYC Community,BXInform.us@SD,1,https://reflect-stream-bronxnet.cablecast.tv/live-8/live/stream-4/live.m3u8
193,BX Inspire (720p),NYC Community,BXInspire.us@SD,1,https://reflect-stream-bronxnet.cablecast.tv/live-18/live/stream-7/live.m3u8
194,BX Omni (720p),NYC Community,BXOmni.us@SD,1,https://reflect-stream-bronxnet.cablecast.tv/live-16/live/stream-1/live.m3u8
195,BX Arts (720p),NYC Community,BXArts.us@SD,1,https://reflect-stream-bronxnet.cablecast.tv/live-19/live/stream-2/live.m3u8
196,BX Culture (720p),NYC Community,BXCulture.us@SD,1,https://reflect-stream-bronxnet.cablecast.tv/live-7/live/stream-3/live.m3u8
197,NYXT (1080p),NYC Community,NYXT.us@SD,1,https://reflect-stream-bronxnet.cablecast.tv/live-10/live/live.m3u8
198,Fox Soul (1080p),Entertainment,FoxSoul.us@SD,1,https://fox-foxsoul-samsungus.amagi.tv/playlist.m3u8
199,Jewish Life Television (1080p),Religious,JewishLifeTelevision.us@SD,1,https://jlt-jltv-strimm.otteravision.com/jlt/jltv/jltv.m3u8
200,BYUtv (1080p),Entertainment,BYUTV.us@SD,1,https://d13j8jpstr8iqz.cloudfront.net/BYUtv.m3u8
201,RFD-TV (1080p),Lifestyle,RFDTV.us@SD,1,http://40.160.24.55/RFD-TV/index.m3u8
202,The Cowboy Channel (1080p),Sports,TheCowboyChannel.us@SD,1,https://gpuserver3.tier1streams.com/THE_COWBOY_CHANNEL/index.m3u8
203,Access 4 PAC,Sports,Access4PAC.us@SD,1,https://reflect-channel18vod-springfield-il-us.cablecast.tv/live-16/live/stream-4/live.m3u8
204,Nickelodeon Pluto TV (720p),Entertainment,NickelodeonPlutoTV.us@SD,1,https://jmp2.uk/plu-5ca673e0d0bd6c2689c94ce3.m3u8
205,WFXT-DT2 (1080p),Broadcast,WFXT662.us@SD,1,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-ionmystery-tablo/playlist.m3u8
206,The Now Network (480p) [Not 24/7],Religious,TheNowNetwork.us@SD,1,https://mediaprod1.nowcast.cc:5443/LiveApp/streams/anZPy7eaVWLyDMZB1697488814699.m3u8
